Unnamed: 0,avg_price
483,5.21033485857288e-05
484,3.564925952548919e-05
485,3.564925952548919e-05
486,3.839133565601845e-05
487,5.758476206734414e-05
488,5.758681669674429e-05
489,5.210321959194312e-05
490,5.21033485857288e-05
491,5.758650966760091e-05
492,5.210321959194312e-05
493,7.404078678805526e-05
494,7.952425575096552e-05
495,7.403888832097315e-05
496,6.032823556674347e-05
497,6.306996146588622e-05
498,6.0328544279654816e-05
499,5.21033485857288e-05
500,4.936147981869653e-05
501,4.936147981869653e-05
502,4.936147981869653e-05
503,4.113306396629665e-05
504,4.1133076911495504e-05
505,3.290578545422445e-05
506,4.9359873401488224e-05
507,4.661975299064123e-05
508,4.936147981869653e-05
509,5.21033485857288e-05
510,5.758681669674429e-05
511,5.758650966760091e-05
512,5.4845089113834056e-05
513,4.38748052217738e-05
514,4.113453878849044e-05
515,4.1133076911495504e-05
516,3.290578545422445e-05
517,3.290578545422445e-05
518,3.839133565601845e-05
519,5.4845089113834056e-05
520,5.758681669674429e-05
521,7.12990458340017e-05
522,7.404078678805526e-05
523,8.226773136142351e-05
524,8.500934150222882e-05
525,0.000128883888714
526,0.0001343676528209
527,0.0001288841839009
528,0.0001233987889042
529,0.0001206572393919
530,0.000134369165356
531,0.0001508218144862
532,0.0001508229837996
533,0.0001535635436905
534,0.0001535635436905
535,0.0001590466115594
536,0.000164533061111
537,0.0001590487626468
538,0.0001617900865879
539,0.0001672735543875
540,0.000175501722624
541,0.0001782439557327
542,0.0001645318140151
543,0.0001645318140151
544,0.0001782439557327
545,0.000175501722624
546,0.0001645318140151
547,0.0001617900865879
548,0.0001480800852818
549,0.0001398543667755
550,0.0001316259118883
551,0.0001206570617507
552,0.0001179156985089
553,0.0001179156985089
554,0.0001014615826108
555,0.0001069470095371
556,0.0001124322148788
557,0.0001179153216519
558,0.0001233987889042
559,0.0001288856985922
560,0.0001233987889042
561,0.0001179156985089
562,0.0001179153216519
563,0.000112432227824
564,0.0001096901403647
565,0.0001288856985922
566,0.0001398543667755
567,0.0001425960432107
568,0.0001535631437598
569,0.0001535635436905
570,0.0001508212361988
571,0.0001535635436905
572,0.0001617900865879
573,0.0001700165245402
574,0.000172759997382
575,0.0001535647104805
576,0.0001480795095178
577,0.0001563052858401
578,0.0001590487626468
579,0.0001617900865879
580,0.0001563052858401
581,0.0001563052858401
582,0.0001480795095178
583,0.0001508218144862
584,0.0001508212361988
585,0.0001590466115594
586,0.0001892127483541
587,0.0002056666853252
588,0.0002029248200444
589,0.0002193768003622
590,0.0002166353842596
591,0.0002111501674641
592,0.0002084083645508
593,0.0002056666237337
594,0.0002029248829166
595,0.0002056666853252
596,0.0002221185401268
597,0.0002138919085336
598,0.0002084083645508
599,0.0002166333259419
600,0.000224862436943
601,0.0002330893700508
602,0.000235831171704
603,0.0002276059130469
604,0.0002111518400242
605,0.000172758743898
606,0.0001700165245402
607,0.0001809856960346
608,0.000172759997382
609,0.0001864726679281
610,0.0002056666237337
611,0.0002358289358299
612,0.0002358328461547
613,0.0002221206954958
614,0.0002413158847803
615,0.0002330876953639
616,0.0002276041783902
617,0.0002468012897342
618,0.0002605117012777
619,0.0002495411042389
620,0.0002495430043994
621,0.000276963732975
622,0.000276963732975
623,0.0003043856631497
624,0.0003016447889962
625,0.0002742217724861
626,0.0002687368038804
627,0.0002797054730847
628,0.0002934172289652
629,0.0002989025743939
630,0.0003098712398926
631,0.0003043865299761
632,0.0003263257159752
633,0.0003263239813186
634,0.0003126147137314
635,0.0005676428533493
636,0.0003893961233969
637,0.0003756857070548
638,0.0003701999120362
639,0.0003592319020216
640,0.000364715359572
641,0.0003756857070548
642,0.0003756832667087
643,0.0003702016466917
644,0.000361973643742
645,0.0003647164588641
646,0.0003811672688119
647,0.0003893954061758
648,0.0003839107443777
649,0.0003811672688119
650,0.0004223022294934
651,0.0004689216916377
652,0.0004771470744093
653,0.0004442407681548
654,0.0004524659621357
655,0.0004360155865039
656,0.000444241059022
657,0.0004716633191915
658,0.0004689198445048
659,0.0004250454200533
660,0.0003839107443777
661,0.0004085915063857
662,0.0004250457058379
663,0.0004277869228619
664,0.0004552097049274
665,0.0004853738421162
666,0.0004826321018307
667,0.0004881155824017
668,0.0005100543480886
669,0.0005018275586796
670,0.0005210232587965
671,0.0005155379923687
672,0.0005045696716017
673,0.0005292501736993
674,0.0005402192895636
675,0.000507311038293
676,0.0005045696716017
677,0.0005182795663361
678,0.0005018275586796
679,0.0004881155824017
680,0.0004771469413837
681,0.0004826324244442
682,0.0005045696716017
683,0.0005127948941921
684,0.0005265067129543
685,0.0005402205767766
686,0.0005402188421209
687,0.0005402188421209
688,0.0005457045064928
689,0.0005566707745328
690,0.0005566731798044
691,0.0005594143370141
692,0.0005676416243714
693,0.0005758671901195
694,0.0005923200582872
695,0.000567641598481
696,0.0005840941233988
697,0.0005676416243714
698,0.0005786106662805
699,0.0005758671901195
700,0.0005813520098873
701,0.0005621560507642
702,0.0005374754077063
703,0.0005237667333723
704,0.0005182795663361
705,0.0005237647539328
706,0.0005402188421209
707,0.0005511856487813
708,0.0005511873834368
709,0.0005402171218399
710,0.0005374771022068
711,0.0005539291230774
712,0.0005484457706284
713,0.000542958861864
714,0.0005484439091407
715,0.0005566731798044
716,0.0005648977015084
717,0.0005840913724441
718,0.0005923183236322
719,0.0005868358649031
720,0.0005731250795372
721,0.0005731254486151
722,0.0005457022960586
723,0.0005402188421209
724,0.0005319919276582
725,0.0005594142485917
726,0.0005840913724441
727,0.0005978055828641
728,0.0006224869692359
729,0.0006252265545819
730,0.0006279704514532
731,0.0006965236154718
732,0.0007266897269687
733,0.0006828136570342
734,0.0006608746108168
735,0.0006965243508411
736,0.0007102359743205
737,0.0007239480008069
738,0.0007349171709763
739,0.000718462798815
740,0.0006828136570342
741,0.0006773276815175
742,0.0006608764389954
743,0.0006581328700144
744,0.0006965243508411
745,0.0006965263170589
746,0.000644422606871
747,0.0006718471973003
748,0.0006937845752439
749,0.000674588215852
750,0.0006773294161726
751,0.0006691030268167
752,0.0006663597696343
753,0.0006416826004189
754,0.0006252265545819
755,0.0006307121925618
756,0.0006197432427175
757,0.0006252265545819
758,0.0006279704514532
759,0.0006307121925618
760,0.0006252287103445
761,0.0006307118699044
762,0.0006773294161726
763,0.0006773302015986
764,0.0006800711549478
765,0.0007129775845671
766,0.0007294313774019
767,0.0007266897269687
768,0.0007129782422373
769,0.0007020094981971
770,0.00069926730516
771,0.0006965263170589
772,0.0006800711549478
773,0.0006581329633085
774,0.0006526476537533
775,0.0006992671768212
776,0.0007047532512705
777,0.0007102359743205
778,0.0007212045386112
779,0.0006965263170589
780,0.0007020090452587
781,0.0007020090452587
782,0.0007129782422373
783,0.0007129765075807
784,0.0007047507594671
785,0.0007239479871726
786,0.0007513686651902
787,0.0007787917030063
788,0.0007787917030063
789,0.0007870185422076
790,0.0007678226085355
791,0.000776049846303
792,0.000800729707404
793,0.0008254113668879
794,0.0008528330862224
795,0.0008473478936513
796,0.0008638012372893
797,0.0008363784585543
798,0.000844606151749
799,0.0008555748281246
800,0.0008418634899089
801,0.0008391201822603
802,0.0008665429781064
803,0.0008583179249905
804,0.0008418635157993
805,0.0008308948469366
806,0.0008391201822603
807,0.0008391200411192
808,0.0008555743060721
809,0.0008747700483959
810,0.0008802535146454
811,0.0009021909399409
812,0.0009460690711083
813,0.0009680039947005
814,0.0009734894016038
815,0.0009625188583223
816,0.0009680048464998
817,0.0009981699065161
818,0.0010694676031574
819,0.001074949916685
820,0.0010557560099326
821,0.0010776927722899
822,0.0011078583355527
823,0.0010914044907916
824,0.0010804352659396
825,0.001009139326629
826,0.0009954283825514
827,0.0009926849338937
828,0.0009734883224124
829,0.0009131629055114
830,0.000902192871409
831,0.0009652645870857
832,0.0009899411662088
833,0.0009954266737861
834,0.0009734892346403
